measure label,year,state,county,fips,unemployment_1y,numerator,denominator
unemployment_1y,2012, Alabama,Baldwin County,1003,0.087639771,8120,92652
unemployment_1y,2012, Alabama,Calhoun County,1015,0.15338634,8391,54705
unemployment_1y,2012, Alabama,Cullman County,1043,0.075185612,2876,38252
unemployment_1y,2012, Alabama,Elmore County,1051,0.061636504,2476,40171
unemployment_1y,2012, Alabama,Etowah County,1055,0.117447913,5169,44011
unemployment_1y,2012, Alabama,Houston County,1069,0.075290784,3612,47974
unemployment_1y,2012, Alabama,Jefferson County,1073,0.092380986,29299,317154
unemployment_1y,2012, Alabama,Lauderdale County,1077,0.107278712,4597,42851
unemployment_1y,2012, Alabama,Lee County,1081,0.067038953,4994,74494
unemployment_1y,2012, Alabama,Limestone County,1083,0.085292585,3606,42278
unemployment_1y,2012, Alabama,Madison County,1089,0.087667488,15703,179120
unemployment_1y,2012, Alabama,Marshall County,1095,0.096666023,4007,41452
unemployment_1y,2012, Alabama,Mobile County,1097,0.116331182,21857,187886
unemployment_1y,2012, Alabama,Montgomery County,1101,0.094504163,10295,108937
unemployment_1y,2012, Alabama,Morgan County,1103,0.134739712,8003,59396
unemployment_1y,2012, Alabama,Shelby County,1117,0.056526225,6024,106570
unemployment_1y,2012, Alabama,St. Clair County,1115,0.100056365,4083,40807
unemployment_1y,2012, Alabama,Talladega County,1121,0.137014091,4931,35989
unemployment_1y,2012, Alabama,Tuscaloosa County,1125,0.07444258,7018,94274
unemployment_1y,2012, Alabama,Walker County,1127,0.120028511,3368,28060
unemployment_1y,2012, Alaska,Anchorage Municipality,2020,0.062408704,10681,171146
unemployment_1y,2012, Alaska,Fairbanks North Star Borough,2090,0.063226238,3564,56369
unemployment_1y,2012, Alaska,Matanuska-Susitna Borough,2170,0.103296705,4700,45500
unemployment_1y,2012, Arizona,Apache County,4001,0.174054921,4107,23596
unemployment_1y,2012, Arizona,Cochise County,4003,0.095068797,5161,54287
unemployment_1y,2012, Arizona,Coconino County,4005,0.081547886,5831,71504
unemployment_1y,2012, Arizona,Maricopa County,4013,0.085867837,166569,1939830
unemployment_1y,2012, Arizona,Mohave County,4015,0.153579503,11475,74717
unemployment_1y,2012, Arizona,Navajo County,4017,0.214730725,8720,40609
unemployment_1y,2012, Arizona,Pima County,4019,0.102597088,48409,471836
unemployment_1y,2012, Arizona,Pinal County,4021,0.124210022,19654,158232
unemployment_1y,2012, Arizona,Yavapai County,4025,0.108940095,10008,91867
unemployment_1y,2012, Arizona,Yuma County,4027,0.137921169,11576,83932
unemployment_1y,2012, Arkansas,Benton County,5007,0.047021076,5261,111886
unemployment_1y,2012, Arkansas,Craighead County,5031,0.061421368,3107,50585
unemployment_1y,2012, Arkansas,Faulkner County,5045,0.068343915,4360,63795
unemployment_1y,2012, Arkansas,Garland County,5051,0.096499234,4336,44933
unemployment_1y,2012, Arkansas,Jefferson County,5069,0.092191547,2882,31261
unemployment_1y,2012, Arkansas,Lonoke County,5085,0.08702974,3049,35034
unemployment_1y,2012, Arkansas,Pulaski County,5119,0.087558776,16890,192899
unemployment_1y,2012, Arkansas,Saline County,5125,0.049597286,2808,56616
unemployment_1y,2012, Arkansas,Sebastian County,5131,0.053167287,3155,59341
unemployment_1y,2012, Arkansas,Washington County,5143,0.07809066,8350,106927
unemployment_1y,2012, Arkansas,White County,5145,0.060283586,2096,34769
unemployment_1y,2012, California,Alameda County,6001,0.100690491,83893,833177
unemployment_1y,2012, California,Butte County,6007,0.150011808,15249,101652
unemployment_1y,2012, California,Contra Costa County,6013,0.089963056,49337,548414
unemployment_1y,2012, California,El Dorado County,6017,0.116757207,10875,93142
unemployment_1y,2012, California,Fresno County,6019,0.156779125,66982,427238
unemployment_1y,2012, California,Humboldt County,6023,0.099089898,6500,65597
unemployment_1y,2012, California,Imperial County,6025,0.193111926,13659,70731
unemployment_1y,2012, California,Kern County,6029,0.139755443,52196,373481
unemployment_1y,2012, California,Kings County,6031,0.155645281,10022,64390
unemployment_1y,2012, California,Lake County,6033,0.185757771,5431,29237
unemployment_1y,2012, California,Los Angeles County,6037,0.115566455,589287,5099118
unemployment_1y,2012, California,Madera County,6039,0.098395251,5782,58763
unemployment_1y,2012, California,Marin County,6041,0.070288375,9696,137946
unemployment_1y,2012, California,Mendocino County,6045,0.11398451,4725,41453
unemployment_1y,2012, California,Merced County,6047,0.172307715,19997,116054
unemployment_1y,2012, California,Monterey County,6053,0.089628473,18426,205582
unemployment_1y,2012, California,Napa County,6055,0.09585093,7150,74595
unemployment_1y,2012, California,Nevada County,6057,0.09953016,4724,47463
unemployment_1y,2012, California,Orange County,6059,0.090085916,146626,1627624
unemployment_1y,2012, California,Placer County,6061,0.108676739,19360,178143
unemployment_1y,2012, California,Riverside County,6065,0.146406278,152235,1039812
unemployment_1y,2012, California,Sacramento County,6067,0.141433105,101532,717880
unemployment_1y,2012, California,San Bernardino County,6071,0.134929702,126638,938548
unemployment_1y,2012, California,San Diego County,6073,0.091508567,150303,1642502
unemployment_1y,2012, California,San Francisco County,6075,0.077211305,38266,495601
unemployment_1y,2012, California,San Joaquin County,6077,0.159651607,51305,321356
unemployment_1y,2012, California,San Luis Obispo County,6079,0.067775175,9432,139166
unemployment_1y,2012, California,San Mateo County,6081,0.077884369,32028,411225
unemployment_1y,2012, California,Santa Barbara County,6083,0.091337167,19494,213429
unemployment_1y,2012, California,Santa Clara County,6085,0.086914763,84160,968305
unemployment_1y,2012, California,Santa Cruz County,6087,0.080573425,11775,146140
unemployment_1y,2012, California,Shasta County,6089,0.117839769,9352,79362
unemployment_1y,2012, California,Solano County,6095,0.132882208,28552,214867
unemployment_1y,2012, California,Sonoma County,6097,0.094256967,24356,258400
unemployment_1y,2012, California,Stanislaus County,6099,0.171890989,42005,244370
unemployment_1y,2012, California,Sutter County,6101,0.125680447,5518,43905
unemployment_1y,2012, California,Tulare County,6107,0.135613948,26731,197111
unemployment_1y,2012, California,Ventura County,6111,0.100128382,44066,440095
unemployment_1y,2012, California,Yolo County,6113,0.108288392,11185,103289
unemployment_1y,2012, California,Yuba County,6115,0.162025705,5295,32680
unemployment_1y,2012, Colorado,Adams County,8001,0.084907487,20600,242617
unemployment_1y,2012, Colorado,Arapahoe County,8005,0.083337642,27397,328747
unemployment_1y,2012, Colorado,Boulder County,8013,0.064543813,11355,175927
unemployment_1y,2012, Colorado,Denver County,8031,0.072394803,26106,360606
unemployment_1y,2012, Colorado,Douglas County,8035,0.052417204,8455,161302
unemployment_1y,2012, Colorado,El Paso County,8041,0.08572083,29205,340699
unemployment_1y,2012, Colorado,Jefferson County,8059,0.071862191,22231,309356
unemployment_1y,2012, Colorado,Larimer County,8069,0.076485716,13412,175353
unemployment_1y,2012, Colorado,Mesa County,8077,0.089791827,6802,75753
unemployment_1y,2012, Colorado,Pueblo County,8101,0.11178048,8294,74199
unemployment_1y,2012, Colorado,Weld County,8123,0.07243409,9833,135751
unemployment_1y,2012, Connecticut,Fairfield County,9001,0.094713353,47788,504554
unemployment_1y,2012, Connecticut,Hartford County,9003,0.102817908,49714,483515
unemployment_1y,2012, Connecticut,Litchfield County,9005,0.081234626,8851,108956
unemployment_1y,2012, Connecticut,Middlesex County,9007,0.065619402,6224,94850
unemployment_1y,2012, Connecticut,New Haven County,9009,0.113584168,52721,464158
unemployment_1y,2012, Connecticut,New London County,9011,0.084289238,12940,153519
unemployment_1y,2012, Connecticut,Tolland County,9013,0.066529877,5642,84804
unemployment_1y,2012, Connecticut,Windham County,9015,0.08921729,5681,63676
unemployment_1y,2012, Delaware,Kent County,10001,0.106398135,8812,82821
unemployment_1y,2012, Delaware,New Castle County,10003,0.083121218,23969,288362
unemployment_1y,2012, Delaware,Sussex County,10005,0.08271651,8236,99569
unemployment_1y,2012, District of Columbia,District of Columbia,11001,0.102475069,37718,368070
unemployment_1y,2012, Florida,Alachua County,12001,0.079729661,9886,123994
unemployment_1y,2012, Florida,Bay County,12005,0.107554011,9464,87993
unemployment_1y,2012, Florida,Brevard County,12009,0.13391906,34844,260187
unemployment_1y,2012, Florida,Broward County,12011,0.118116118,116649,987579
unemployment_1y,2012, Florida,Charlotte County,12015,0.1158562,7219,62310
unemployment_1y,2012, Florida,Citrus County,12017,0.154035866,8057,52306
unemployment_1y,2012, Florida,Clay County,12019,0.112257063,10830,96475
unemployment_1y,2012, Florida,Collier County,12021,0.085722566,12725,148444
unemployment_1y,2012, Florida,Columbia County,12023,0.205585599,6235,30328
unemployment_1y,2012, Florida,Duval County,12031,0.119149998,54282,455577
unemployment_1y,2012, Florida,Escambia County,12033,0.098982193,14889,150421
unemployment_1y,2012, Florida,Flagler County,12035,0.123061761,4746,38566
unemployment_1y,2012, Florida,Hernando County,12053,0.188713714,12293,65141
